"","subnum","food1","food2","food3","answer","rt"
"99","sub-198","muffin_8","french_fries_5","grilled_cheese_4","muffin_8",2275
"100","sub-198","rice_5","doughnut_6","grilled_cheese_4","grilled_cheese_4",3747
"101","sub-198","popsicle_2","broccoli_7","rice_5","popsicle_2",1851
"102","sub-198","soup_7","mac_and_cheese_7","sausage_1","soup_7",2707
"103","sub-198","jelly_bean_7","cookie_7","crepe_2","jelly_bean_7",3178
"104","sub-198","apple_3","potato_6","grilled_cheese_4","grilled_cheese_4",2291
"105","sub-198","mushroom_8","soup_7","crepe_2","crepe_2",2159
"106","sub-198","candy_cane_5","pineapple_6","hot_dog_3","candy_cane_5",4077
"107","sub-198","popsicle_2","fried_chicken_7","sausage_1","popsicle_2",3015
"109","sub-198","ice_cream_1","hot_dog_3","mac_and_cheese_7","ice_cream_1",3506
"110","sub-199","popsicle_2","pie_4","onion_ring_2","popsicle_2",8409
"111","sub-199","jelly_bean_7","doughnut_6","grilled_cheese_4","grilled_cheese_4",3484
"112","sub-199","candy_cane_5","watermelon_6","crepe_2","crepe_2",13206
"114","sub-199","chocolate_candy_4","cookie_7","doughnut_6","chocolate_candy_4",7763
"115","sub-199","broccoli_7","ice_cream_1","mac_and_cheese_7","broccoli_7",8910
"116","sub-199","broccoli_7","cookie_7","mac_and_cheese_7","broccoli_7",2997
"117","sub-199","candy_cane_5","raspberry_2","crepe_2","candy_cane_5",10319
"118","sub-199","cauliflower_3","ice_cream_1","bacon_2","cauliflower_3",4256
"119","sub-199","jelly_bean_7","pineapple_6","chips_1","pineapple_6",4427
"120","sub-199","broccoli_7","soup_7","chips_1","chips_1",2871
"121","sub-199","apple_3","bacon_2","mac_and_cheese_7","apple_3",3550
"122","sub-199","bacon_2","french_fries_5","sausage_1","french_fries_5",3975
"123","sub-199","apple_3","gummy_bear_3","doughnut_6","apple_3",3246
"124","sub-199","apple_3","raspberry_2","french_fries_5","french_fries_5",7722
"125","sub-199","pineapple_6","ice_cream_1","pie_4","pineapple_6",3456
"126","sub-199","raspberry_2","doughnut_6","grilled_cheese_4","raspberry_2",4513
"128","sub-199","pineapple_6","soup_7","grilled_cheese_4","grilled_cheese_4",8685
"129","sub-199","broccoli_7","doughnut_6","hot_dog_3","broccoli_7",3000
"130","sub-199","cauliflower_3","pie_4","french_fries_5","cauliflower_3",4273
"131","sub-199","cauliflower_3","ice_cream_1","fried_chicken_7","cauliflower_3",4237
"132","sub-200","pineapple_6","popsicle_2","cinnamon_roll_7","popsicle_2",3855
"133","sub-200","broccoli_7","potato_6","crepe_2","crepe_2",4326
"135","sub-200","potato_6","grilled_cheese_4","sausage_1","potato_6",2559
"136","sub-200","apple_3","jelly_bean_7","cookie_7","apple_3",4510
"137","sub-200","candy_cane_5","muffin_8","bacon_2","candy_cane_5",2488
"138","sub-200","soup_7","chocolate_candy_4","crepe_2","chocolate_candy_4",1587
"139","sub-200","chocolate_candy_4","crepe_2","french_fries_5","chocolate_candy_4",2460
"140","sub-200","cookie_7","muffin_8","grilled_cheese_4","grilled_cheese_4",1935
"141","sub-200","popsicle_2","watermelon_6","mushroom_8","popsicle_2",1741
"142","sub-200","popsicle_2","watermelon_6","chips_1","popsicle_2",1167
"144","sub-200","jelly_bean_7","popsicle_2","ice_cream_1","jelly_bean_7",1857
"145","sub-200","candy_cane_5","rice_5","chips_1","candy_cane_5",1793
"146","sub-200","apple_3","french_fries_5","fried_chicken_7","apple_3",1257
"147","sub-200","rice_5","muffin_8","grilled_cheese_4","rice_5",2147
"148","sub-200","squash_6","cinnamon_roll_7","muffin_8","squash_6",1732
"149","sub-200","pineapple_6","cauliflower_3","ice_cream_1","ice_cream_1",11360
"150","sub-200","apple_3","squash_6","onion_ring_2","onion_ring_2",2882
"151","sub-200","bean_8","bacon_2","french_fries_5","bean_8",1359
"152","sub-200","cinnamon_roll_7","chips_1","hot_dog_3","chips_1",3684
"153","sub-200","watermelon_6","ice_cream_1","grilled_cheese_4","ice_cream_1",2251
"154","sub-201","strawberry_1","rice_5","ice_cream_1","rice_5",5744
"155","sub-201","raspberry_2","rice_5","doughnut_6","rice_5",3607
"156","sub-201","cinnamon_roll_7","cookie_7","bacon_2","bacon_2",2912
"158","sub-201","raspberry_2","potato_6","pie_4","potato_6",2209
"159","sub-201","potato_6","chocolate_candy_4","hot_dog_3","potato_6",4184
"160","sub-201","candy_cane_5","tomato_1","crepe_2","tomato_1",2386
"161","sub-201","ice_cream_1","muffin_8","onion_ring_2","onion_ring_2",3237
"162","sub-201","pineapple_6","raspberry_2","bean_8","pineapple_6",1895
"163","sub-201","candy_cane_5","broccoli_7","soup_7","candy_cane_5",1846
"165","sub-201","squash_6","ice_cream_1","sausage_1","ice_cream_1",2733
"166","sub-201","cake_7","doughnut_6","fried_chicken_7","fried_chicken_7",2724
"167","sub-201","bean_8","crepe_2","chips_1","bean_8",2073
"168","sub-201","broccoli_7","doughnut_6","pie_4","broccoli_7",2178
"169","sub-201","cake_7","cinnamon_roll_7","ice_cream_1","ice_cream_1",2945
"170","sub-201","chocolate_candy_4","ice_cream_1","onion_ring_2","onion_ring_2",2729
"171","sub-201","apple_3","candy_cane_5","pineapple_6","candy_cane_5",1837
"172","sub-201","soup_7","squash_6","doughnut_6","doughnut_6",2112
"173","sub-201","bean_8","rice_5","soup_7","bean_8",2848
"174","sub-201","raspberry_2","tomato_1","doughnut_6","tomato_1",3156
"175","sub-201","pineapple_6","bean_8","broccoli_7","bean_8",3249
"176","sub-202","ice_cream_1","pie_4","grilled_cheese_4","grilled_cheese_4",976
"177","sub-202","candy_cane_5","jelly_bean_7","pie_4","candy_cane_5",7909
"179","sub-202","rice_5","cookie_7","mac_and_cheese_7","rice_5",5805
"180","sub-202","soup_7","chocolate_candy_4","french_fries_5","chocolate_candy_4",4292
"182","sub-202","squash_6","french_fries_5","fried_chicken_7","fried_chicken_7",4415
"183","sub-202","candy_cane_5","cookie_7","crepe_2","candy_cane_5",2188
"184","sub-202","cookie_7","doughnut_6","ice_cream_1","doughnut_6",2316
"185","sub-202","candy_cane_5","french_fries_5","hot_dog_3","french_fries_5",3315
"186","sub-202","mushroom_8","rice_5","soup_7","mushroom_8",3424
"187","sub-202","mushroom_8","cake_7","muffin_8","cake_7",2054
"188","sub-202","ice_cream_1","muffin_8","french_fries_5","ice_cream_1",3675
"189","sub-202","strawberry_1","crepe_2","bacon_2","crepe_2",2121
"190","sub-202","broccoli_7","cake_7","french_fries_5","broccoli_7",3259
"191","sub-202","candy_cane_5","watermelon_6","potato_6","watermelon_6",1573
"192","sub-202","cauliflower_3","cinnamon_roll_7","mac_and_cheese_7","cauliflower_3",1874
"193","sub-202","mushroom_8","tomato_1","grilled_cheese_4","tomato_1",1883
"194","sub-202","soup_7","doughnut_6","sausage_1","soup_7",2490
"195","sub-202","strawberry_1","broccoli_7","mushroom_8","broccoli_7",1818
"196","sub-202","tomato_1","cookie_7","chips_1","tomato_1",1919
"197","sub-202","soup_7","crepe_2","ice_cream_1","crepe_2",2392
"198","sub-203","jelly_bean_7","fried_chicken_7","hot_dog_3","jelly_bean_7",1797
"199","sub-203","watermelon_6","grilled_cheese_4","hot_dog_3","watermelon_6",1330
"200","sub-203","strawberry_1","bean_8","cookie_7","cookie_7",2116
"201","sub-203","pineapple_6","chocolate_candy_4","french_fries_5","pineapple_6",4319
"202","sub-203","muffin_8","bacon_2","french_fries_5","muffin_8",7287
"203","sub-203","pineapple_6","strawberry_1","bacon_2","bacon_2",4462
"204","sub-203","popsicle_2","tomato_1","hot_dog_3","hot_dog_3",8014
"205","sub-203","bacon_2","chips_1","grilled_cheese_4","grilled_cheese_4",3555
"207","sub-203","cauliflower_3","cinnamon_roll_7","muffin_8","cauliflower_3",26001
"208","sub-203","watermelon_6","tomato_1","doughnut_6","doughnut_6",7491
"210","sub-203","bean_8","chocolate_candy_4","hot_dog_3","hot_dog_3",2497
"211","sub-203","bean_8","cauliflower_3","bacon_2","bacon_2",1410
"212","sub-203","watermelon_6","muffin_8","chips_1","watermelon_6",2188
"213","sub-203","pineapple_6","raspberry_2","cake_7","cake_7",2476
"214","sub-203","potato_6","muffin_8","french_fries_5","muffin_8",2008
"215","sub-203","pineapple_6","cookie_7","onion_ring_2","pineapple_6",2145
"216","sub-203","rice_5","pie_4","onion_ring_2","pie_4",2528
"217","sub-203","apple_3","watermelon_6","onion_ring_2","onion_ring_2",1303
"218","sub-203","candy_cane_5","crepe_2","onion_ring_2","candy_cane_5",2365
"219","sub-203","rice_5","tomato_1","ice_cream_1","tomato_1",4841
"220","sub-204","ice_cream_1","bacon_2","hot_dog_3","ice_cream_1",10381
"221","sub-204","apple_3","mushroom_8","cookie_7","cookie_7",27762
"222","sub-204","cookie_7","french_fries_5","fried_chicken_7","cookie_7",7419
"223","sub-204","popsicle_2","tomato_1","french_fries_5","popsicle_2",2889
"225","sub-204","strawberry_1","rice_5","doughnut_6","rice_5",5721
"226","sub-204","bean_8","cauliflower_3","hot_dog_3","hot_dog_3",8554
"227","sub-204","tomato_1","chocolate_candy_4","fried_chicken_7","chocolate_candy_4",2664
"228","sub-204","jelly_bean_7","crepe_2","pie_4","jelly_bean_7",8628
"229","sub-204","raspberry_2","mushroom_8","rice_5","rice_5",3976
"230","sub-204","mushroom_8","soup_7","onion_ring_2","soup_7",6589
"231","sub-204","popsicle_2","pie_4","sausage_1","popsicle_2",3420
"232","sub-204","candy_cane_5","tomato_1","chips_1","candy_cane_5",4470
"233","sub-204","apple_3","cauliflower_3","french_fries_5","apple_3",7547
"234","sub-204","gummy_bear_3","chocolate_candy_4","cookie_7","gummy_bear_3",42011
"236","sub-204","cinnamon_roll_7","ice_cream_1","onion_ring_2","ice_cream_1",2806
"237","sub-204","strawberry_1","chocolate_candy_4","doughnut_6","strawberry_1",6244
"238","sub-204","candy_cane_5","gummy_bear_3","muffin_8","muffin_8",3608
"239","sub-204","watermelon_6","potato_6","onion_ring_2","watermelon_6",2132
"240","sub-204","apple_3","rice_5","squash_6","rice_5",4204
"241","sub-204","potato_6","cake_7","hot_dog_3","potato_6",23563
"242","sub-205","popsicle_2","rice_5","french_fries_5","popsicle_2",3247
"243","sub-205","pineapple_6","soup_7","ice_cream_1","ice_cream_1",2930
"244","sub-205","raspberry_2","cookie_7","muffin_8","raspberry_2",2710
"245","sub-205","ice_cream_1","pie_4","bacon_2","bacon_2",8971
"246","sub-205","jelly_bean_7","potato_6","doughnut_6","potato_6",3902
"247","sub-205","strawberry_1","cake_7","chips_1","strawberry_1",4523
"248","sub-205","jelly_bean_7","bean_8","mushroom_8","mushroom_8",4146
"249","sub-205","mushroom_8","rice_5","mac_and_cheese_7","mac_and_cheese_7",4365
"250","sub-205","apple_3","potato_6","cinnamon_roll_7","cinnamon_roll_7",3746
"251","sub-205","gummy_bear_3","soup_7","mac_and_cheese_7","gummy_bear_3",2494
"252","sub-205","cauliflower_3","cake_7","pie_4","cauliflower_3",3092
"254","sub-205","strawberry_1","rice_5","pie_4","pie_4",6802
"255","sub-205","apple_3","raspberry_2","watermelon_6","raspberry_2",6745
"256","sub-205","raspberry_2","cinnamon_roll_7","onion_ring_2","raspberry_2",2889
"257","sub-205","tomato_1","cake_7","sausage_1","sausage_1",3377
"258","sub-205","tomato_1","bacon_2","mac_and_cheese_7","tomato_1",2614
"259","sub-205","cinnamon_roll_7","crepe_2","grilled_cheese_4","crepe_2",4535
"261","sub-205","candy_cane_5","broccoli_7","pie_4","broccoli_7",3216
"262","sub-205","bacon_2","grilled_cheese_4","mac_and_cheese_7","bacon_2",4497
"263","sub-205","crepe_2","ice_cream_1","hot_dog_3","hot_dog_3",3772
"264","sub-206","mushroom_8","crepe_2","bacon_2","bacon_2",347
"265","sub-206","pineapple_6","crepe_2","mac_and_cheese_7","pineapple_6",3437
"266","sub-206","ice_cream_1","pie_4","french_fries_5","french_fries_5",2169
"267","sub-206","soup_7","chocolate_candy_4","onion_ring_2","chocolate_candy_4",1843
"268","sub-206","rice_5","crepe_2","french_fries_5","crepe_2",2231
"269","sub-206","gummy_bear_3","rice_5","french_fries_5","gummy_bear_3",18750
"270","sub-206","candy_cane_5","watermelon_6","cinnamon_roll_7","watermelon_6",8974
"271","sub-206","cinnamon_roll_7","muffin_8","french_fries_5","french_fries_5",2407
"272","sub-206","soup_7","cinnamon_roll_7","hot_dog_3","cinnamon_roll_7",2671
"273","sub-206","potato_6","french_fries_5","grilled_cheese_4","grilled_cheese_4",2103
"274","sub-206","chips_1","onion_ring_2","sausage_1","onion_ring_2",1983
"276","sub-206","bean_8","doughnut_6","grilled_cheese_4","grilled_cheese_4",2702
"277","sub-206","popsicle_2","broccoli_7","mushroom_8","popsicle_2",1831
"278","sub-206","tomato_1","bacon_2","grilled_cheese_4","grilled_cheese_4",2086
"279","sub-206","mushroom_8","squash_6","cake_7","cake_7",2327
"280","sub-206","watermelon_6","tomato_1","chips_1","chips_1",1965
"281","sub-206","tomato_1","pie_4","chips_1","chips_1",1422
"282","sub-206","jelly_bean_7","raspberry_2","watermelon_6","jelly_bean_7",2150
"283","sub-206","cauliflower_3","cookie_7","french_fries_5","cauliflower_3",3286
"285","sub-206","jelly_bean_7","rice_5","crepe_2","rice_5",3542
"286","sub-207","soup_7","chocolate_candy_4","cookie_7","soup_7",2450
"287","sub-207","chocolate_candy_4","cinnamon_roll_7","ice_cream_1","ice_cream_1",3519
"288","sub-207","pie_4","bacon_2","french_fries_5","pie_4",2506
"289","sub-207","tomato_1","cake_7","hot_dog_3","hot_dog_3",4777
"290","sub-207","potato_6","soup_7","cake_7","cake_7",2432
"291","sub-207","rice_5","fried_chicken_7","onion_ring_2","rice_5",2692
"292","sub-207","apple_3","squash_6","sausage_1","sausage_1",1747
"293","sub-207","gummy_bear_3","raspberry_2","cookie_7","raspberry_2",1625
"294","sub-207","candy_cane_5","watermelon_6","soup_7","candy_cane_5",2757
"295","sub-207","pie_4","mac_and_cheese_7","sausage_1","pie_4",1744
"297","sub-207","soup_7","muffin_8","french_fries_5","muffin_8",2286
"298","sub-207","chocolate_candy_4","muffin_8","french_fries_5","chocolate_candy_4",3273
"299","sub-207","bean_8","broccoli_7","cookie_7","cookie_7",2053
"300","sub-207","jelly_bean_7","bacon_2","hot_dog_3","jelly_bean_7",2619
"301","sub-207","mushroom_8","potato_6","crepe_2","crepe_2",2628
"302","sub-207","popsicle_2","bean_8","potato_6","popsicle_2",2092
"303","sub-207","apple_3","watermelon_6","chocolate_candy_4","chocolate_candy_4",2413
"305","sub-207","squash_6","chocolate_candy_4","onion_ring_2","squash_6",3832
"306","sub-207","candy_cane_5","bean_8","cauliflower_3","candy_cane_5",1989
"307","sub-207","raspberry_2","soup_7","hot_dog_3","raspberry_2",2148
"308","sub-197","cauliflower_3","soup_7","cinnamon_roll_7","cinnamon_roll_7",5926
"309","sub-197","gummy_bear_3","chocolate_candy_4","muffin_8","gummy_bear_3",1763
"310","sub-197","pineapple_6","cinnamon_roll_7","hot_dog_3","hot_dog_3",2839
"311","sub-197","french_fries_5","grilled_cheese_4","mac_and_cheese_7","french_fries_5",2275
"312","sub-197","popsicle_2","cookie_7","ice_cream_1","cookie_7",2307
"313","sub-197","strawberry_1","tomato_1","muffin_8","muffin_8",1574
"314","sub-197","cauliflower_3","cookie_7","sausage_1","cauliflower_3",2222
"315","sub-197","soup_7","bacon_2","onion_ring_2","bacon_2",3199
"317","sub-197","candy_cane_5","squash_6","bacon_2","candy_cane_5",2848
"318","sub-197","gummy_bear_3","cookie_7","french_fries_5","french_fries_5",2349
"319","sub-197","pineapple_6","crepe_2","french_fries_5","french_fries_5",1529
"320","sub-197","cake_7","doughnut_6","ice_cream_1","cake_7",1326
"321","sub-197","cauliflower_3","potato_6","doughnut_6","cauliflower_3",1862
"322","sub-197","raspberry_2","crepe_2","doughnut_6","raspberry_2",2692
"323","sub-197","watermelon_6","pie_4","french_fries_5","french_fries_5",1390
"325","sub-197","pineapple_6","broccoli_7","ice_cream_1","ice_cream_1",2214
"326","sub-197","pie_4","chips_1","french_fries_5","pie_4",1666
"327","sub-197","watermelon_6","bean_8","soup_7","watermelon_6",2054
"328","sub-197","potato_6","fried_chicken_7","onion_ring_2","potato_6",2246
"329","sub-197","soup_7","french_fries_5","grilled_cheese_4","soup_7",1228
"330","sub-208","bean_8","tomato_1","sausage_1","tomato_1",6786
"331","sub-208","chocolate_candy_4","cookie_7","bacon_2","bacon_2",2394
"333","sub-208","jelly_bean_7","mushroom_8","crepe_2","mushroom_8",3602
"334","sub-208","gummy_bear_3","soup_7","hot_dog_3","gummy_bear_3",2587
"335","sub-208","cauliflower_3","cake_7","hot_dog_3","hot_dog_3",3879
"336","sub-208","watermelon_6","mushroom_8","ice_cream_1","mushroom_8",2888
"338","sub-208","potato_6","rice_5","chips_1","chips_1",2496
"339","sub-208","cookie_7","chips_1","grilled_cheese_4","cookie_7",4803
"340","sub-208","strawberry_1","watermelon_6","soup_7","soup_7",1559
"341","sub-208","apple_3","candy_cane_5","jelly_bean_7","apple_3",5520
"342","sub-208","cauliflower_3","rice_5","mac_and_cheese_7","cauliflower_3",3602
"343","sub-208","broccoli_7","pie_4","sausage_1","sausage_1",7375
"344","sub-208","watermelon_6","ice_cream_1","chips_1","watermelon_6",3770
"345","sub-208","pineapple_6","mushroom_8","squash_6","mushroom_8",4019
"346","sub-208","apple_3","raspberry_2","rice_5","rice_5",1857
"347","sub-208","doughnut_6","ice_cream_1","grilled_cheese_4","grilled_cheese_4",1767
"348","sub-208","jelly_bean_7","pineapple_6","bean_8","bean_8",3028
"349","sub-208","tomato_1","cake_7","french_fries_5","french_fries_5",2051
"350","sub-208","squash_6","cookie_7","ice_cream_1","squash_6",2323
"351","sub-208","raspberry_2","ice_cream_1","bacon_2","bacon_2",5726
"352","sub-209","soup_7","doughnut_6","hot_dog_3","soup_7",10238
"353","sub-209","apple_3","rice_5","cake_7","cake_7",8533
"354","sub-209","gummy_bear_3","crepe_2","muffin_8","gummy_bear_3",4771
"355","sub-209","strawberry_1","bacon_2","sausage_1","strawberry_1",4744
"356","sub-209","strawberry_1","tomato_1","cookie_7","cookie_7",2331
"357","sub-209","jelly_bean_7","broccoli_7","hot_dog_3","jelly_bean_7",4832
"359","sub-209","soup_7","onion_ring_2","sausage_1","soup_7",3173
"360","sub-209","jelly_bean_7","broccoli_7","squash_6","jelly_bean_7",2133
"361","sub-209","broccoli_7","mushroom_8","fried_chicken_7","fried_chicken_7",5244
"362","sub-209","cauliflower_3","mushroom_8","crepe_2","crepe_2",2316
"364","sub-209","popsicle_2","crepe_2","sausage_1","popsicle_2",3508
"365","sub-209","raspberry_2","chocolate_candy_4","ice_cream_1","raspberry_2",2481
"366","sub-209","pineapple_6","broccoli_7","rice_5","rice_5",2847
"367","sub-209","popsicle_2","chocolate_candy_4","grilled_cheese_4","grilled_cheese_4",4737
"368","sub-209","apple_3","french_fries_5","onion_ring_2","apple_3",1967
"369","sub-209","bean_8","fried_chicken_7","onion_ring_2","bean_8",5830
"370","sub-209","pineapple_6","bean_8","cauliflower_3","bean_8",1943
"371","sub-209","mushroom_8","potato_6","tomato_1","potato_6",8564
"372","sub-209","apple_3","pineapple_6","muffin_8","muffin_8",2026
"373","sub-209","potato_6","soup_7","hot_dog_3","soup_7",3347
"374","sub-210","pineapple_6","watermelon_6","potato_6","pineapple_6",7573
"375","sub-210","jelly_bean_7","onion_ring_2","sausage_1","sausage_1",9616
"376","sub-210","bean_8","mushroom_8","potato_6","bean_8",5413
"377","sub-210","gummy_bear_3","cookie_7","fried_chicken_7","gummy_bear_3",2276
"378","sub-210","cauliflower_3","doughnut_6","pie_4","doughnut_6",2706
"379","sub-210","soup_7","pie_4","onion_ring_2","pie_4",2979
"380","sub-210","doughnut_6","ice_cream_1","fried_chicken_7","fried_chicken_7",2911
"381","sub-210","bean_8","squash_6","cookie_7","bean_8",4952
"383","sub-210","candy_cane_5","strawberry_1","tomato_1","candy_cane_5",4976
"384","sub-210","soup_7","crepe_2","sausage_1","soup_7",3057
"385","sub-210","jelly_bean_7","mushroom_8","french_fries_5","jelly_bean_7",2917
"386","sub-210","candy_cane_5","raspberry_2","onion_ring_2","raspberry_2",2175
"387","sub-210","pineapple_6","watermelon_6","hot_dog_3","hot_dog_3",4098
"388","sub-210","potato_6","rice_5","grilled_cheese_4","grilled_cheese_4",3283
"389","sub-210","tomato_1","muffin_8","chips_1","tomato_1",3657
"391","sub-210","gummy_bear_3","cauliflower_3","mushroom_8","gummy_bear_3",1875
"392","sub-210","strawberry_1","muffin_8","grilled_cheese_4","strawberry_1",4499
"393","sub-210","pineapple_6","rice_5","hot_dog_3","hot_dog_3",1978
