"","l_s1101","l_s1102","l_s1104","l_s301","l_s302","l_s303","l_s304","l_s305","l_s306","l_s308","l_s310","l_s312","l_s313","l_s314","l_s315","l_s317","l_s318","l_s319","l_s320","l_s322","o_s307","o_s309","o_s321","o_s323","o_s324","o_s325","o_s326","o_s327","o_s328","o_s329","o_s330","o_s331","o_s332","o_s333","o_s334","o_s335","o_s338","o_s339","o_s340","o_s342"
"fish",3.67,1,1,7,3.67,7,3.67,7,6.33,6,1,4.5,4.33,5,2.33,3.5,6.67,4.67,7,2.67,7,6.5,5.67,2.33,7,7,6,7,7,6,3,3.67,7,1.67,4,7,5.67,4.67,5.3,1
"french_fries",3.67,1.33,3.33,2.67,1.33,3.33,2.67,1.33,5.33,3,2.67,4,5,3.5,4.33,4.33,3,4.33,4,3,3.67,7,6.67,6.33,5.67,6,2.33,6.67,7,5.33,5.33,1.67,6,7,6,7,6.33,4.5,7,3
"grapes",4.67,1.33,2.33,6,4.5,4.67,4.67,7,4,3,2.33,3.5,4,4,4,4.33,5.67,3.33,5,3,5,4.5,4.33,4.67,6.33,5.33,6.33,3,5.67,5,2.67,5,4,2.33,6.33,6.67,4,3.33,6,2
"grilled_cheese",5,1.67,1.33,5.33,4,3.33,2,2,1.5,4.67,1.33,5,1.33,2.67,2.67,3.67,2,3.33,3,2.33,4.67,6.33,6.67,5,7,3,2.67,5.67,5,5,5,1,3,6.67,2.5,7,3,6.5,5,3
"gummy_bears",3.33,1,5.33,5,4,1.33,1.33,7,1.33,3.33,1,4,3.67,2.33,5.33,6.33,3,1,3,2,2.67,3,5,1,1,1,1.33,1.67,1,4.33,6.33,1,2,1,4,1,2.67,3.33,4,7
"hot_dog",5,1.33,1.33,1,1,4,3.5,1.67,5.33,4.67,1.67,4,3,3.33,1.33,3,1,6,5.5,3.33,4,6,6.67,6.33,5.67,1,1.67,7,6.67,4.67,6,1.33,6.67,1,1,7,6,4.5,7,5.5
"ice_cream",4,2,4,6.33,5.33,4,3.33,2.67,5,4.33,2,6,4,4.33,5,6.67,7,6,6.75,2,4.67,5.5,6.33,7,5,3.33,1.67,5,4.33,5.67,3.33,1.33,4.33,4.67,5.33,2.67,6,4.33,7,3.5
"jello",3.33,1,4.67,5.67,5,2.33,1.67,2,1.33,2.67,1,6,4,3,2,1,2,3.33,4.25,1,2.67,4.33,4.67,3,1,1,1.67,4,4.33,3,3,1,1,1,3.33,1,1,1.33,4,7
"jelly_beans",3,1.67,6,4.67,4.33,2.33,1.67,1,1.33,1,1,3.5,3.67,2.33,5,3,3,1,1,1.67,3.67,1,5,1,1,1.33,3,3,1,5,6.33,1,2.33,3.67,3,1,1.67,3,4,4
"mac_and_cheese",3.67,1,1.33,6,2.33,4,3.33,4.33,1,4.67,2.5,5,2,1,2.67,4,2.67,4.33,7,2.33,4.33,7,6.33,5.33,5.33,4.33,1,1,6.67,3.33,1,1.33,2.33,2.67,1.5,4,3.67,4.33,7,6
"marshmallow",3.33,1,2,4,4,1.33,1.33,1,1,1.33,1,4.33,4,3,1.33,4,3,2,6,1,3,1,3,1,1,1,3.33,1.5,1.33,4,1,1,2,6,6.67,1,1.33,4,7,NA
"mozzarella_sticks",5.67,2,4.67,6.33,4.33,4,3.67,1,5,3.33,2,4,1,5.33,2,5,4,4.67,7,1,4.67,5.5,5.67,5,7,4.33,3.67,7,2.33,5.67,6.33,1,2.67,2,6,2.5,5.33,4.67,5.3,1
"muffin",3.67,1.67,5,5.67,5.67,3,4,2,3.33,2.67,2.33,NA,4,4.33,3.67,5,5,3.67,5.5,1.67,5,2,7,7,4.67,3,2.33,5.67,4.33,5.33,1.67,1,3,3,5.67,1,5.67,4.33,7,2
"mushrooms",1,1,1,1.67,1,4,2,7,3,4.67,2,1.5,1,1.67,3.67,3,1,1,1,1.67,4.33,2.67,2,4.33,4.67,4.67,2.33,1.67,2,4,2,3.67,4,1,1.33,7,1.33,1.33,4,4
"olives",2,1,3,2.67,1,6,2.67,7,3.33,4.67,2,3,1,2,7,2.33,2,1.33,1,1.67,4,3,3.33,1,5.33,1.33,6.33,1,6.67,4,3,2,1,1,4,3,1.67,3,3,3
"onion_rings",4,1,3.33,2,1,3.33,2.67,1,4.67,2.33,2.67,3.67,3.67,4,2.67,3.67,5,4.33,6,1,4.67,4.5,5.67,4.5,5.67,5.67,4.33,7,4.67,5,1.33,1.33,5.33,3.33,1,3.33,5.67,5.33,4,4
"pasta",4.67,1.67,1.33,5.67,4.33,4,3.67,6.67,3.67,5.67,2.67,4.5,3.33,1.67,5.33,6,1,5.67,7,3,4.33,6.67,7,5,4,3.67,1.67,6.33,6.67,4.67,1,3.5,3.67,1,1.67,1.33,4.67,4.33,3.7,3
"peach",3,2,4.33,5.33,4,5.33,4,6.33,3,3.67,2.67,5,4.33,2,4.5,1,4.67,1.33,2.5,2,4.33,2.67,4.33,4.33,6.33,4,1,2,3.67,5.33,6.67,4,4,1,2.67,7,5,3,5,3
"pie",4.67,2,2,5.33,3.33,4.67,2.67,1.67,3.67,3,1.67,6,4,3.67,5.67,3,5.33,3.33,1,1,4.67,1,6.67,7,4,2,2.33,5.33,1.67,6,1,2.33,3.67,1.67,4.33,1,4,5.33,7,3
"pineapple",2.33,1,1,6,3,5,3.33,7,2.33,3.33,2,4,4,5.67,7,6,7,1.33,6.5,3,5.33,6.5,4,4,6,4,6.33,4,7,5,6.33,5,4,3,7,7,5,3.33,7,2
"pizza",4.33,1.67,2.67,3.5,4.67,4.33,4,2,5,5,2.33,5.5,2.67,3.33,6,5.33,2.67,5.33,3.75,2.33,5.33,5,7,6.67,7,3.67,4.33,7,7,7,2.67,2.67,6.67,5.33,3.33,6.67,5,4.67,5.7,2
"popsicle",4,2,6.67,5.67,1,2,2,1,1.67,1.33,1,4,4,4.33,4.67,3,3,3.33,5.75,3,3.67,2.5,5,4.33,2.67,2,6.33,4,7,5,6.67,1,3.67,1.33,4,4,3.33,3.67,4,6.5
"quesadilla",5.67,1.33,3.33,6,4,5.33,4.33,3.67,2.67,4.67,2,3,1.33,3,6,5,4.33,4.67,7,1,4,2.67,6.33,5,7,4.33,2.33,7,4,3.67,5.5,2.33,4.67,3.67,3,7,7,5.67,7,4.5
"shrimp",3,1,1,7,1,7,3.33,6.67,5.67,4.67,2.67,3,3.33,5.67,1,4.67,5.67,4.33,7,3.67,3.67,5,5.67,6.67,7,1,6.33,6.67,7,6.33,1,4,7,2,6.67,7,7,5.33,7,1
"squash",1.33,1,1.33,4,5,4,2.33,7,1,1.67,1.67,5.33,2,3.33,4.67,5.5,3.33,1.33,5.67,1.33,4.33,1,2.33,1.67,1.67,6.33,4.67,1,3,4,1.33,3.67,2.33,1.33,2.33,7,2.33,2,3,5
"strawberry",3.33,2,1,6.33,6.5,4.33,3.5,6,3,5,2,5,4,1,5,7,5,2.33,6.67,2.33,4,5.5,5,5.33,5,1,6,3.67,4.67,5.33,7,4.5,4,3,5.67,7,4.33,1.5,7,2
"taco",5.33,1,2.67,5.67,1,6.33,4.33,6,4,4.67,1.67,4,1,3.67,7,6.67,4,4.33,3,2.67,4,5,4,7,7,4,1,7,4.33,4.33,3,3.67,6,1,1,6.33,6.67,4.67,7,1.5
"tomato",1.33,1,2.67,5.33,7,4.67,2.33,7,1.67,3.33,3,3,3.33,2.33,4,3.33,1.67,1,7,1,3.67,3.5,5.33,1,6.33,4,3.67,2,1,3,2.33,3.67,2.67,1,1,1,1.33,3,4,4.5
"twinkie",4.67,1.33,5.33,2.67,3,1,1,1,3.33,2,1,4,2.33,4,1,2,2.33,4.33,1,2.67,4,6,4.67,7,1,1,1,4,1,4.67,1,1,5.67,1.33,2,1,4.33,4,7,5.5
