,food1,food2,food3,answer,rt
88,cake_7,chocolate_candy_4,crepe_2,chocolate_candy_4,6118
89,doughnut_6,chips_1,sausage_1,sausage_1,5037
90,jelly_bean_7,mushroom_8,cinnamon_roll_7,mushroom_8,3518
91,gummy_bear_3,pie_4,sausage_1,sausage_1,2528
92,cauliflower_3,potato_6,pie_4,pie_4,3121
93,apple_3,cookie_7,fried_chicken_7,apple_3,4430
94,cauliflower_3,crepe_2,grilled_cheese_4,cauliflower_3,3664
95,candy_cane_5,cauliflower_3,squash_6,candy_cane_5,1923
97,cauliflower_3,mushroom_8,potato_6,cauliflower_3,3475
98,candy_cane_5,bean_8,fried_chicken_7,candy_cane_5,3297
99,muffin_8,french_fries_5,grilled_cheese_4,muffin_8,2275
100,rice_5,doughnut_6,grilled_cheese_4,grilled_cheese_4,3747
101,popsicle_2,broccoli_7,rice_5,popsicle_2,1851
102,soup_7,mac_and_cheese_7,sausage_1,soup_7,2707
103,jelly_bean_7,cookie_7,crepe_2,jelly_bean_7,3178
104,apple_3,potato_6,grilled_cheese_4,grilled_cheese_4,2291
105,mushroom_8,soup_7,crepe_2,crepe_2,2159
106,candy_cane_5,pineapple_6,hot_dog_3,candy_cane_5,4077
107,popsicle_2,fried_chicken_7,sausage_1,popsicle_2,3015
109,ice_cream_1,hot_dog_3,mac_and_cheese_7,ice_cream_1,3506
110,popsicle_2,pie_4,onion_ring_2,popsicle_2,8409
111,jelly_bean_7,doughnut_6,grilled_cheese_4,grilled_cheese_4,3484
112,candy_cane_5,watermelon_6,crepe_2,crepe_2,13206
114,chocolate_candy_4,cookie_7,doughnut_6,chocolate_candy_4,7763
115,broccoli_7,ice_cream_1,mac_and_cheese_7,broccoli_7,8910
116,broccoli_7,cookie_7,mac_and_cheese_7,broccoli_7,2997
117,candy_cane_5,raspberry_2,crepe_2,candy_cane_5,10319
118,cauliflower_3,ice_cream_1,bacon_2,cauliflower_3,4256
119,jelly_bean_7,pineapple_6,chips_1,pineapple_6,4427
120,broccoli_7,soup_7,chips_1,chips_1,2871
121,apple_3,bacon_2,mac_and_cheese_7,apple_3,3550
122,bacon_2,french_fries_5,sausage_1,french_fries_5,3975
123,apple_3,gummy_bear_3,doughnut_6,apple_3,3246
124,apple_3,raspberry_2,french_fries_5,french_fries_5,7722
125,pineapple_6,ice_cream_1,pie_4,pineapple_6,3456
126,raspberry_2,doughnut_6,grilled_cheese_4,raspberry_2,4513
128,pineapple_6,soup_7,grilled_cheese_4,grilled_cheese_4,8685
129,broccoli_7,doughnut_6,hot_dog_3,broccoli_7,3000
130,cauliflower_3,pie_4,french_fries_5,cauliflower_3,4273
131,cauliflower_3,ice_cream_1,fried_chicken_7,cauliflower_3,4237
132,pineapple_6,popsicle_2,cinnamon_roll_7,popsicle_2,3855
133,broccoli_7,potato_6,crepe_2,crepe_2,4326
135,potato_6,grilled_cheese_4,sausage_1,potato_6,2559
136,apple_3,jelly_bean_7,cookie_7,apple_3,4510
137,candy_cane_5,muffin_8,bacon_2,candy_cane_5,2488
138,soup_7,chocolate_candy_4,crepe_2,chocolate_candy_4,1587
139,chocolate_candy_4,crepe_2,french_fries_5,chocolate_candy_4,2460
140,cookie_7,muffin_8,grilled_cheese_4,grilled_cheese_4,1935
141,popsicle_2,watermelon_6,mushroom_8,popsicle_2,1741
142,popsicle_2,watermelon_6,chips_1,popsicle_2,1167
144,jelly_bean_7,popsicle_2,ice_cream_1,jelly_bean_7,1857
145,candy_cane_5,rice_5,chips_1,candy_cane_5,1793
146,apple_3,french_fries_5,fried_chicken_7,apple_3,1257
147,rice_5,muffin_8,grilled_cheese_4,rice_5,2147
148,squash_6,cinnamon_roll_7,muffin_8,squash_6,1732
149,pineapple_6,cauliflower_3,ice_cream_1,ice_cream_1,11360
150,apple_3,squash_6,onion_ring_2,onion_ring_2,2882
151,bean_8,bacon_2,french_fries_5,bean_8,1359
152,cinnamon_roll_7,chips_1,hot_dog_3,chips_1,3684
153,watermelon_6,ice_cream_1,grilled_cheese_4,ice_cream_1,2251
154,strawberry_1,rice_5,ice_cream_1,rice_5,5744
155,raspberry_2,rice_5,doughnut_6,rice_5,3607
156,cinnamon_roll_7,cookie_7,bacon_2,bacon_2,2912
158,raspberry_2,potato_6,pie_4,potato_6,2209
159,potato_6,chocolate_candy_4,hot_dog_3,potato_6,4184
160,candy_cane_5,tomato_1,crepe_2,tomato_1,2386
161,ice_cream_1,muffin_8,onion_ring_2,onion_ring_2,3237
162,pineapple_6,raspberry_2,bean_8,pineapple_6,1895
163,candy_cane_5,broccoli_7,soup_7,candy_cane_5,1846
165,squash_6,ice_cream_1,sausage_1,ice_cream_1,2733
166,cake_7,doughnut_6,fried_chicken_7,fried_chicken_7,2724
167,bean_8,crepe_2,chips_1,bean_8,2073
168,broccoli_7,doughnut_6,pie_4,broccoli_7,2178
169,cake_7,cinnamon_roll_7,ice_cream_1,ice_cream_1,2945
170,chocolate_candy_4,ice_cream_1,onion_ring_2,onion_ring_2,2729
171,apple_3,candy_cane_5,pineapple_6,candy_cane_5,1837
172,soup_7,squash_6,doughnut_6,doughnut_6,2112
173,bean_8,rice_5,soup_7,bean_8,2848
174,raspberry_2,tomato_1,doughnut_6,tomato_1,3156
175,pineapple_6,bean_8,broccoli_7,bean_8,3249
176,ice_cream_1,pie_4,grilled_cheese_4,grilled_cheese_4,976
177,candy_cane_5,jelly_bean_7,pie_4,candy_cane_5,7909
179,rice_5,cookie_7,mac_and_cheese_7,rice_5,5805
180,soup_7,chocolate_candy_4,french_fries_5,chocolate_candy_4,4292
182,squash_6,french_fries_5,fried_chicken_7,fried_chicken_7,4415
183,candy_cane_5,cookie_7,crepe_2,candy_cane_5,2188
184,cookie_7,doughnut_6,ice_cream_1,doughnut_6,2316
185,candy_cane_5,french_fries_5,hot_dog_3,french_fries_5,3315
186,mushroom_8,rice_5,soup_7,mushroom_8,3424
187,mushroom_8,cake_7,muffin_8,cake_7,2054
188,ice_cream_1,muffin_8,french_fries_5,ice_cream_1,3675
189,strawberry_1,crepe_2,bacon_2,crepe_2,2121
190,broccoli_7,cake_7,french_fries_5,broccoli_7,3259
191,candy_cane_5,watermelon_6,potato_6,watermelon_6,1573
192,cauliflower_3,cinnamon_roll_7,mac_and_cheese_7,cauliflower_3,1874
193,mushroom_8,tomato_1,grilled_cheese_4,tomato_1,1883
194,soup_7,doughnut_6,sausage_1,soup_7,2490
195,strawberry_1,broccoli_7,mushroom_8,broccoli_7,1818
196,tomato_1,cookie_7,chips_1,tomato_1,1919
197,soup_7,crepe_2,ice_cream_1,crepe_2,2392
198,jelly_bean_7,fried_chicken_7,hot_dog_3,jelly_bean_7,1797
199,watermelon_6,grilled_cheese_4,hot_dog_3,watermelon_6,1330
200,strawberry_1,bean_8,cookie_7,cookie_7,2116
201,pineapple_6,chocolate_candy_4,french_fries_5,pineapple_6,4319
202,muffin_8,bacon_2,french_fries_5,muffin_8,7287
203,pineapple_6,strawberry_1,bacon_2,bacon_2,4462
204,popsicle_2,tomato_1,hot_dog_3,hot_dog_3,8014
205,bacon_2,chips_1,grilled_cheese_4,grilled_cheese_4,3555
207,cauliflower_3,cinnamon_roll_7,muffin_8,cauliflower_3,26001
208,watermelon_6,tomato_1,doughnut_6,doughnut_6,7491
210,bean_8,chocolate_candy_4,hot_dog_3,hot_dog_3,2497
211,bean_8,cauliflower_3,bacon_2,bacon_2,1410
212,watermelon_6,muffin_8,chips_1,watermelon_6,2188
213,pineapple_6,raspberry_2,cake_7,cake_7,2476
214,potato_6,muffin_8,french_fries_5,muffin_8,2008
215,pineapple_6,cookie_7,onion_ring_2,pineapple_6,2145
216,rice_5,pie_4,onion_ring_2,pie_4,2528
217,apple_3,watermelon_6,onion_ring_2,onion_ring_2,1303
218,candy_cane_5,crepe_2,onion_ring_2,candy_cane_5,2365
219,rice_5,tomato_1,ice_cream_1,tomato_1,4841
220,ice_cream_1,bacon_2,hot_dog_3,ice_cream_1,10381
221,apple_3,mushroom_8,cookie_7,cookie_7,27762
222,cookie_7,french_fries_5,fried_chicken_7,cookie_7,7419
223,popsicle_2,tomato_1,french_fries_5,popsicle_2,2889
225,strawberry_1,rice_5,doughnut_6,rice_5,5721
226,bean_8,cauliflower_3,hot_dog_3,hot_dog_3,8554
227,tomato_1,chocolate_candy_4,fried_chicken_7,chocolate_candy_4,2664
228,jelly_bean_7,crepe_2,pie_4,jelly_bean_7,8628
229,raspberry_2,mushroom_8,rice_5,rice_5,3976
230,mushroom_8,soup_7,onion_ring_2,soup_7,6589
231,popsicle_2,pie_4,sausage_1,popsicle_2,3420
232,candy_cane_5,tomato_1,chips_1,candy_cane_5,4470
233,apple_3,cauliflower_3,french_fries_5,apple_3,7547
234,gummy_bear_3,chocolate_candy_4,cookie_7,gummy_bear_3,42011
236,cinnamon_roll_7,ice_cream_1,onion_ring_2,ice_cream_1,2806
237,strawberry_1,chocolate_candy_4,doughnut_6,strawberry_1,6244
238,candy_cane_5,gummy_bear_3,muffin_8,muffin_8,3608
239,watermelon_6,potato_6,onion_ring_2,watermelon_6,2132
240,apple_3,rice_5,squash_6,rice_5,4204
241,potato_6,cake_7,hot_dog_3,potato_6,23563
242,popsicle_2,rice_5,french_fries_5,popsicle_2,3247
243,pineapple_6,soup_7,ice_cream_1,ice_cream_1,2930
244,raspberry_2,cookie_7,muffin_8,raspberry_2,2710
245,ice_cream_1,pie_4,bacon_2,bacon_2,8971
246,jelly_bean_7,potato_6,doughnut_6,potato_6,3902
247,strawberry_1,cake_7,chips_1,strawberry_1,4523
248,jelly_bean_7,bean_8,mushroom_8,mushroom_8,4146
249,mushroom_8,rice_5,mac_and_cheese_7,mac_and_cheese_7,4365
250,apple_3,potato_6,cinnamon_roll_7,cinnamon_roll_7,3746
251,gummy_bear_3,soup_7,mac_and_cheese_7,gummy_bear_3,2494
252,cauliflower_3,cake_7,pie_4,cauliflower_3,3092
254,strawberry_1,rice_5,pie_4,pie_4,6802
255,apple_3,raspberry_2,watermelon_6,raspberry_2,6745
256,raspberry_2,cinnamon_roll_7,onion_ring_2,raspberry_2,2889
257,tomato_1,cake_7,sausage_1,sausage_1,3377
258,tomato_1,bacon_2,mac_and_cheese_7,tomato_1,2614
259,cinnamon_roll_7,crepe_2,grilled_cheese_4,crepe_2,4535
261,candy_cane_5,broccoli_7,pie_4,broccoli_7,3216
262,bacon_2,grilled_cheese_4,mac_and_cheese_7,bacon_2,4497
263,crepe_2,ice_cream_1,hot_dog_3,hot_dog_3,3772
264,mushroom_8,crepe_2,bacon_2,bacon_2,347
265,pineapple_6,crepe_2,mac_and_cheese_7,pineapple_6,3437
266,ice_cream_1,pie_4,french_fries_5,french_fries_5,2169
267,soup_7,chocolate_candy_4,onion_ring_2,chocolate_candy_4,1843
268,rice_5,crepe_2,french_fries_5,crepe_2,2231
269,gummy_bear_3,rice_5,french_fries_5,gummy_bear_3,18750
270,candy_cane_5,watermelon_6,cinnamon_roll_7,watermelon_6,8974
271,cinnamon_roll_7,muffin_8,french_fries_5,french_fries_5,2407
272,soup_7,cinnamon_roll_7,hot_dog_3,cinnamon_roll_7,2671
273,potato_6,french_fries_5,grilled_cheese_4,grilled_cheese_4,2103
274,chips_1,onion_ring_2,sausage_1,onion_ring_2,1983
276,bean_8,doughnut_6,grilled_cheese_4,grilled_cheese_4,2702
277,popsicle_2,broccoli_7,mushroom_8,popsicle_2,1831
278,tomato_1,bacon_2,grilled_cheese_4,grilled_cheese_4,2086
279,mushroom_8,squash_6,cake_7,cake_7,2327
280,watermelon_6,tomato_1,chips_1,chips_1,1965
281,tomato_1,pie_4,chips_1,chips_1,1422
282,jelly_bean_7,raspberry_2,watermelon_6,jelly_bean_7,2150
283,cauliflower_3,cookie_7,french_fries_5,cauliflower_3,3286
285,jelly_bean_7,rice_5,crepe_2,rice_5,3542
286,soup_7,chocolate_candy_4,cookie_7,soup_7,2450
287,chocolate_candy_4,cinnamon_roll_7,ice_cream_1,ice_cream_1,3519
288,pie_4,bacon_2,french_fries_5,pie_4,2506
289,tomato_1,cake_7,hot_dog_3,hot_dog_3,4777
290,potato_6,soup_7,cake_7,cake_7,2432
291,rice_5,fried_chicken_7,onion_ring_2,rice_5,2692
292,apple_3,squash_6,sausage_1,sausage_1,1747
293,gummy_bear_3,raspberry_2,cookie_7,raspberry_2,1625
294,candy_cane_5,watermelon_6,soup_7,candy_cane_5,2757
295,pie_4,mac_and_cheese_7,sausage_1,pie_4,1744
297,soup_7,muffin_8,french_fries_5,muffin_8,2286
298,chocolate_candy_4,muffin_8,french_fries_5,chocolate_candy_4,3273
299,bean_8,broccoli_7,cookie_7,cookie_7,2053
300,jelly_bean_7,bacon_2,hot_dog_3,jelly_bean_7,2619
301,mushroom_8,potato_6,crepe_2,crepe_2,2628
302,popsicle_2,bean_8,potato_6,popsicle_2,2092
303,apple_3,watermelon_6,chocolate_candy_4,chocolate_candy_4,2413
305,squash_6,chocolate_candy_4,onion_ring_2,squash_6,3832
306,candy_cane_5,bean_8,cauliflower_3,candy_cane_5,1989
307,raspberry_2,soup_7,hot_dog_3,raspberry_2,2148
308,cauliflower_3,soup_7,cinnamon_roll_7,cinnamon_roll_7,5926
309,gummy_bear_3,chocolate_candy_4,muffin_8,gummy_bear_3,1763
310,pineapple_6,cinnamon_roll_7,hot_dog_3,hot_dog_3,2839
311,french_fries_5,grilled_cheese_4,mac_and_cheese_7,french_fries_5,2275
312,popsicle_2,cookie_7,ice_cream_1,cookie_7,2307
313,strawberry_1,tomato_1,muffin_8,muffin_8,1574
314,cauliflower_3,cookie_7,sausage_1,cauliflower_3,2222
315,soup_7,bacon_2,onion_ring_2,bacon_2,3199
317,candy_cane_5,squash_6,bacon_2,candy_cane_5,2848
318,gummy_bear_3,cookie_7,french_fries_5,french_fries_5,2349
319,pineapple_6,crepe_2,french_fries_5,french_fries_5,1529
320,cake_7,doughnut_6,ice_cream_1,cake_7,1326
321,cauliflower_3,potato_6,doughnut_6,cauliflower_3,1862
322,raspberry_2,crepe_2,doughnut_6,raspberry_2,2692
323,watermelon_6,pie_4,french_fries_5,french_fries_5,1390
325,pineapple_6,broccoli_7,ice_cream_1,ice_cream_1,2214
326,pie_4,chips_1,french_fries_5,pie_4,1666
327,watermelon_6,bean_8,soup_7,watermelon_6,2054
328,potato_6,fried_chicken_7,onion_ring_2,potato_6,2246
329,soup_7,french_fries_5,grilled_cheese_4,soup_7,1228
330,bean_8,tomato_1,sausage_1,tomato_1,6786
331,chocolate_candy_4,cookie_7,bacon_2,bacon_2,2394
333,jelly_bean_7,mushroom_8,crepe_2,mushroom_8,3602
334,gummy_bear_3,soup_7,hot_dog_3,gummy_bear_3,2587
335,cauliflower_3,cake_7,hot_dog_3,hot_dog_3,3879
336,watermelon_6,mushroom_8,ice_cream_1,mushroom_8,2888
338,potato_6,rice_5,chips_1,chips_1,2496
339,cookie_7,chips_1,grilled_cheese_4,cookie_7,4803
340,strawberry_1,watermelon_6,soup_7,soup_7,1559
341,apple_3,candy_cane_5,jelly_bean_7,apple_3,5520
342,cauliflower_3,rice_5,mac_and_cheese_7,cauliflower_3,3602
343,broccoli_7,pie_4,sausage_1,sausage_1,7375
344,watermelon_6,ice_cream_1,chips_1,watermelon_6,3770
345,pineapple_6,mushroom_8,squash_6,mushroom_8,4019
346,apple_3,raspberry_2,rice_5,rice_5,1857
347,doughnut_6,ice_cream_1,grilled_cheese_4,grilled_cheese_4,1767
348,jelly_bean_7,pineapple_6,bean_8,bean_8,3028
349,tomato_1,cake_7,french_fries_5,french_fries_5,2051
350,squash_6,cookie_7,ice_cream_1,squash_6,2323
351,raspberry_2,ice_cream_1,bacon_2,bacon_2,5726
352,soup_7,doughnut_6,hot_dog_3,soup_7,10238
353,apple_3,rice_5,cake_7,cake_7,8533
354,gummy_bear_3,crepe_2,muffin_8,gummy_bear_3,4771
355,strawberry_1,bacon_2,sausage_1,strawberry_1,4744
356,strawberry_1,tomato_1,cookie_7,cookie_7,2331
357,jelly_bean_7,broccoli_7,hot_dog_3,jelly_bean_7,4832
359,soup_7,onion_ring_2,sausage_1,soup_7,3173
360,jelly_bean_7,broccoli_7,squash_6,jelly_bean_7,2133
361,broccoli_7,mushroom_8,fried_chicken_7,fried_chicken_7,5244
362,cauliflower_3,mushroom_8,crepe_2,crepe_2,2316
364,popsicle_2,crepe_2,sausage_1,popsicle_2,3508
365,raspberry_2,chocolate_candy_4,ice_cream_1,raspberry_2,2481
366,pineapple_6,broccoli_7,rice_5,rice_5,2847
367,popsicle_2,chocolate_candy_4,grilled_cheese_4,grilled_cheese_4,4737
368,apple_3,french_fries_5,onion_ring_2,apple_3,1967
369,bean_8,fried_chicken_7,onion_ring_2,bean_8,5830
370,pineapple_6,bean_8,cauliflower_3,bean_8,1943
371,mushroom_8,potato_6,tomato_1,potato_6,8564
372,apple_3,pineapple_6,muffin_8,muffin_8,2026
373,potato_6,soup_7,hot_dog_3,soup_7,3347
374,pineapple_6,watermelon_6,potato_6,pineapple_6,7573
375,jelly_bean_7,onion_ring_2,sausage_1,sausage_1,9616
376,bean_8,mushroom_8,potato_6,bean_8,5413
377,gummy_bear_3,cookie_7,fried_chicken_7,gummy_bear_3,2276
378,cauliflower_3,doughnut_6,pie_4,doughnut_6,2706
379,soup_7,pie_4,onion_ring_2,pie_4,2979
380,doughnut_6,ice_cream_1,fried_chicken_7,fried_chicken_7,2911
381,bean_8,squash_6,cookie_7,bean_8,4952
383,candy_cane_5,strawberry_1,tomato_1,candy_cane_5,4976
384,soup_7,crepe_2,sausage_1,soup_7,3057
385,jelly_bean_7,mushroom_8,french_fries_5,jelly_bean_7,2917
386,candy_cane_5,raspberry_2,onion_ring_2,raspberry_2,2175
387,pineapple_6,watermelon_6,hot_dog_3,hot_dog_3,4098
388,potato_6,rice_5,grilled_cheese_4,grilled_cheese_4,3283
389,tomato_1,muffin_8,chips_1,tomato_1,3657
391,gummy_bear_3,cauliflower_3,mushroom_8,gummy_bear_3,1875
392,strawberry_1,muffin_8,grilled_cheese_4,strawberry_1,4499
393,pineapple_6,rice_5,hot_dog_3,hot_dog_3,1978
394,gummy_bear_3,muffin_8,sausage_1,gummy_bear_3,994
395,gummy_bear_3,pineapple_6,cookie_7,gummy_bear_3,1793
418,pineapple_6,bean_8,cinnamon_roll_7,cinnamon_roll_7,67073
419,jelly_bean_7,potato_6,bacon_2,jelly_bean_7,5370
420,strawberry_1,potato_6,chips_1,strawberry_1,2109
421,soup_7,cinnamon_roll_7,sausage_1,soup_7,38817
422,rice_5,cinnamon_roll_7,sausage_1,rice_5,4777
424,gummy_bear_3,ice_cream_1,bacon_2,ice_cream_1,2168
425,bean_8,rice_5,french_fries_5,rice_5,3261
426,mushroom_8,mac_and_cheese_7,onion_ring_2,mushroom_8,3965
427,watermelon_6,mushroom_8,chocolate_candy_4,chocolate_candy_4,2430
428,gummy_bear_3,mushroom_8,onion_ring_2,mushroom_8,4434
429,jelly_bean_7,strawberry_1,bean_8,jelly_bean_7,8535
430,cake_7,bacon_2,grilled_cheese_4,bacon_2,2300
431,gummy_bear_3,rice_5,squash_6,gummy_bear_3,6430
432,strawberry_1,pie_4,mac_and_cheese_7,strawberry_1,2955
433,mushroom_8,rice_5,ice_cream_1,mushroom_8,2120
434,pineapple_6,cake_7,grilled_cheese_4,grilled_cheese_4,1991
435,broccoli_7,cinnamon_roll_7,french_fries_5,broccoli_7,2301
436,jelly_bean_7,watermelon_6,cookie_7,watermelon_6,3592
438,popsicle_2,cinnamon_roll_7,onion_ring_2,popsicle_2,3111
439,gummy_bear_3,broccoli_7,hot_dog_3,broccoli_7,3446
441,mushroom_8,cake_7,chocolate_candy_4,mushroom_8,3317
442,raspberry_2,soup_7,muffin_8,soup_7,5881
443,jelly_bean_7,tomato_1,sausage_1,jelly_bean_7,5910
445,candy_cane_5,pie_4,sausage_1,sausage_1,3793
446,pineapple_6,mushroom_8,sausage_1,pineapple_6,4194
447,gummy_bear_3,pineapple_6,cauliflower_3,gummy_bear_3,4242
448,watermelon_6,squash_6,tomato_1,watermelon_6,4352
449,soup_7,tomato_1,crepe_2,crepe_2,3432
450,watermelon_6,crepe_2,grilled_cheese_4,watermelon_6,3317
451,jelly_bean_7,cauliflower_3,cake_7,cauliflower_3,5351
452,jelly_bean_7,raspberry_2,chips_1,chips_1,3492
453,apple_3,fried_chicken_7,mac_and_cheese_7,apple_3,2944
454,raspberry_2,doughnut_6,pie_4,raspberry_2,2830
455,jelly_bean_7,popsicle_2,fried_chicken_7,fried_chicken_7,2701
456,soup_7,squash_6,bacon_2,squash_6,3463
457,cake_7,onion_ring_2,sausage_1,cake_7,2585
458,squash_6,chocolate_candy_4,cookie_7,squash_6,2390
459,candy_cane_5,crepe_2,mac_and_cheese_7,candy_cane_5,3846
460,potato_6,cinnamon_roll_7,crepe_2,potato_6,3428
461,apple_3,tomato_1,cinnamon_roll_7,cinnamon_roll_7,3225
462,bean_8,soup_7,doughnut_6,doughnut_6,2541
463,strawberry_1,onion_ring_2,sausage_1,strawberry_1,3128
464,pineapple_6,cookie_7,mac_and_cheese_7,pineapple_6,3730
465,jelly_bean_7,chocolate_candy_4,french_fries_5,french_fries_5,2322
466,raspberry_2,chocolate_candy_4,bacon_2,raspberry_2,2403
467,gummy_bear_3,strawberry_1,pie_4,gummy_bear_3,2342
468,popsicle_2,tomato_1,onion_ring_2,tomato_1,6121
469,broccoli_7,squash_6,french_fries_5,french_fries_5,1506
470,potato_6,french_fries_5,hot_dog_3,hot_dog_3,1799
471,strawberry_1,potato_6,pie_4,potato_6,2589
472,mushroom_8,muffin_8,chips_1,mushroom_8,3741
473,watermelon_6,muffin_8,hot_dog_3,watermelon_6,2419
475,candy_cane_5,soup_7,fried_chicken_7,candy_cane_5,2833
477,cauliflower_3,rice_5,cake_7,cake_7,6532
478,gummy_bear_3,potato_6,soup_7,gummy_bear_3,2911
479,apple_3,pineapple_6,rice_5,rice_5,1554
480,potato_6,cake_7,ice_cream_1,potato_6,1848
481,popsicle_2,mushroom_8,potato_6,popsicle_2,1632
482,gummy_bear_3,watermelon_6,french_fries_5,watermelon_6,3691
483,raspberry_2,broccoli_7,mac_and_cheese_7,mac_and_cheese_7,3127
484,pineapple_6,raspberry_2,fried_chicken_7,fried_chicken_7,3098
485,rice_5,cake_7,chips_1,cake_7,3657
486,jelly_bean_7,tomato_1,pie_4,jelly_bean_7,4746
